match_id,kills_diff,deaths_diff,assists_diff,gold_diff,damage_diff,damage_taken_diff,cs_diff,vision_diff,mean_kda_diff,team_kda_diff,win_blue
RU_535229482,-15,14,-35,-11391,-45018,48908,-32,-7,-8.161666666666665,-3.6117647058823534,0
RU_535230187,14,-14,21,12784,35071,-22997,36,2,2.4980158730158735,2.2068654019873533,1
RU_535230671,-13,12,-17,-6462,-9111,7780,14,-6,-5.596666666666667,-4.412698412698413,0
RU_535231634,0,0,0,831,404,278,16,0,0.0,0.0,1
RU_535233004,25,-25,21,16811,5572,11038,67,3,6.312683982683982,4.888278388278388,1
RU_535233219,0,-1,4,-6764,3805,-11908,-137,-1,0.1300793650793648,0.22298850574712636,0
RU_535233593,-17,17,-46,-5549,-18713,18556,31,-13,-4.846666666666668,-4.359649122807017,0
RU_535235937,5,-5,31,4735,-16753,34360,-80,0,5.171111111111111,1.4301075268817203,1
RU_535239241,-9,9,9,-12302,-13021,-12403,-77,-3,-2.541428571428572,-1.125,0
RU_535239431,13,-13,24,7876,-3477,11657,-30,65,2.8103968253968254,1.5270270270270272,1
RU_535239758,11,-11,23,10357,20038,-16823,2,32,2.182650682650683,1.4906832298136645,1
RU_535239893,-20,20,-33,-14823,-22292,-5541,-22,-5,-10.134444444444444,-5.152777777777778,0
RU_535241071,-35,35,-34,-18124,-36655,28548,-116,-17,-10.638961038961039,-9.522727272727273,0
RU_535241103,10,-10,53,4281,16507,1334,-75,21,1.7484126984126982,1.8775778850372968,0
RU_535241873,-18,17,-8,-8109,-32913,16258,-4,0,-2.1278354978354983,-1.625637755102041,0
RU_535242164,-26,26,-23,-15386,-49054,52112,18,-15,-10.143174603174602,-7.654411764705882,0
RU_535242326,8,-8,21,5831,8283,-11115,-73,33,1.014017094017094,1.301120448179272,1
RU_535242360,12,-11,1,7685,19421,-13178,67,9,3.722857142857143,2.2272727272727275,1
RU_535243812,24,-24,32,12336,39681,-29972,40,4,10.767301587301587,6.111111111111111,1
RU_535244263,20,-20,21,10834,7815,-8809,63,10,8.804761904761905,8.243589743589743,1
RU_535245797,-9,8,-30,-8062,-16878,22125,-13,1,-2.8959523809523815,-2.0520833333333335,0
RU_535246980,25,-25,71,7232,48465,-61004,-114,44,12.13888888888889,6.990853658536586,1
RU_535248254,-15,15,-17,-13883,-9278,-12369,-78,-11,-3.2095454545454545,-2.6826625386996903,0
RU_535250500,3,-3,4,-3590,-32719,24727,31,-47,0.43880952380952376,0.43434343434343425,0
RU_535251127,-28,29,-14,-13182,-43696,35569,33,17,-2.3384249084249085,-2.802248677248677,0
RU_535251621,-18,18,-18,-9587,-33602,13119,-46,-62,-6.1930586080586085,-2.8636363636363633,0
RU_535252722,11,-11,34,6660,29988,-52786,-36,48,8.826666666666666,5.2727272727272725,1
RU_535252820,13,-13,16,9427,44256,-31244,68,-59,1.7811904761904762,1.7257799671592773,1
RU_535253181,20,-20,31,9416,19425,-18564,38,13,10.115079365079364,9.653846153846153,1
RU_535253345,15,-15,20,13939,7318,7752,67,4,3.314285714285714,3.6083743842364537,1
RU_535253658,10,-10,20,7860,20355,-19610,-38,6,4.699999999999999,2.9600000000000004,1
RU_535254839,-18,17,-41,-8647,-12648,11723,22,-37,-5.552380952380952,-4.411764705882352,0
RU_535255817,-11,11,-13,-10839,-31150,23698,-71,20,-1.5214285714285718,-1.285610465116279,0
RU_535256353,23,-22,50,12909,23264,-22779,42,31,5.1645021645021645,4.689345314505777,1
RU_535256841,0,-1,5,4648,7870,-19886,80,11,0.12858585858585814,0.15911193339500462,1
RU_535258023,10,-10,5,6081,21307,-29880,66,-45,1.215897435897436,1.118479221927498,1
RU_535258202,14,-14,39,5458,22903,-19677,36,-21,3.207186147186147,2.9097435897435897,1
RU_535259097,18,-18,36,8012,26261,-12374,-41,-4,3.8114141414141405,3.35949098621421,1
RU_535259813,-19,19,-21,-10444,-31929,22846,5,-15,-5.522142857142857,-3.8910714285714283,0
RU_535260378,-3,2,3,8738,-1863,14709,18,111,-0.07100177600177604,-0.07958833619210992,1
RU_535262360,-19,19,-7,-8897,-29596,6426,2,-12,-4.6301010101010105,-2.133540372670808,0
RU_535263091,-20,20,-32,-12240,-51025,40139,3,-43,-2.2516483516483516,-2.021778584392014,0
RU_535265770,-8,8,-19,-8036,-2259,3377,11,-21,-1.809307359307359,-1.26875,0
RU_535265776,-21,21,-50,-7482,-24432,25213,80,4,-6.427301587301587,-5.541795665634675,0
RU_535266282,5,-5,2,5252,6976,-3187,86,0,2.1499999999999995,2.3030303030303028,1
RU_535267340,-14,14,-11,-9990,-22884,14898,-16,12,-2.1885714285714286,-1.8769230769230771,0
RU_535270937,22,-22,27,6161,3590,6955,-41,-3,7.834523809523809,6.06875,1
RU_535271070,19,-19,4,6749,33599,-22704,-13,13,2.5227472527472528,2.5326797385620914,1
RU_535273124,-7,7,-18,-5096,-37467,51465,58,-41,-1.4997069597069599,-0.8877551020408163,0
RU_535273412,-36,35,-47,-19105,-40253,27966,-82,-11,-11.812222222222223,-10.813131313131313,0
RU_535273717,-19,19,-58,-3396,661,-1217,40,39,-4.018730158730159,-3.3034013605442176,0
RU_535273923,-20,20,-8,-11707,-10250,-2016,-82,-5,-5.326984126984127,-4.15625,0
RU_535275223,13,-13,10,9761,25200,-16881,66,18,4.3966666666666665,5.429824561403509,1
RU_535276253,19,-19,47,10388,18872,-18411,101,-4,6.515714285714287,3.1945288753799392,1
RU_535278300,-12,12,-28,-6894,-9045,-2836,-5,-3,-3.8007936507936506,-2.7967914438502675,0
RU_535278330,-27,27,-42,-14326,-41036,25806,-10,-12,-8.363492063492064,-5.9714285714285715,0
RU_535279342,14,-13,14,13755,30973,-23413,2,15,2.1488888888888886,2.300724637681159,1
RU_535280106,7,-7,15,5406,19842,-6927,-55,-6,0.37412698412698386,1.080952380952381,1
RU_535281373,7,-7,5,3152,16069,-5227,43,7,1.2760461760461759,0.8351351351351353,1
RU_535281957,17,-17,26,10709,20324,-4623,31,27,7.983333333333334,6.303418803418803,1
RU_535283936,-14,13,-18,-6152,-39769,24596,104,-10,-2.0233333333333334,-1.5757196495619525,0
RU_535284497,-24,24,-30,-11666,-12667,-3369,56,-14,-7.90452380952381,-4.07936507936508,0
RU_535285027,22,-22,30,15545,25041,-16906,-11,30,10.137777777777778,5.789010989010989,1
RU_535285337,-34,34,-40,-15457,-51794,29002,-104,-3,-5.484761904761905,-4.329022988505747,0
RU_535288681,16,-15,26,11634,11742,-7289,-56,26,3.741948051948052,2.4230769230769234,1
RU_535293164,4,-4,0,5739,-16403,9883,-22,-18,0.9014285714285717,0.4054336468129569,1
RU_535294614,-8,8,-24,-8875,-38483,33965,-30,-17,-4.588333333333334,-1.8823529411764706,0
RU_535295641,-7,7,-1,-7025,-10247,4600,-37,-11,-2.4666666666666663,-2.1527777777777777,0
RU_535296296,17,-17,19,9207,11401,-303,21,4,4.371717171717172,3.5111111111111106,1
RU_535297050,14,-14,27,13397,38881,-19806,25,-2,5.89357142857143,2.904761904761904,1
RU_535297806,15,-14,11,7775,21184,-12926,8,0,2.0963247863247867,1.5913978494623657,1
RU_535298079,29,-29,37,14581,39770,-24496,80,6,14.00949494949495,12.933333333333334,1
RU_535298584,-7,7,-7,-6423,4546,-17637,-28,-10,-1.8259523809523808,-1.1739811912225706,0
RU_535299058,6,-6,18,-3696,-6097,4944,-64,-2,1.5586147186147188,1.062937062937063,0
RU_535299162,-28,27,-28,-16251,-41786,24072,-18,9,-6.9519047619047605,-6.455128205128205,0
RU_535299515,-1,-1,-13,-1987,-39005,34569,-63,-40,-0.07905982905982922,-0.2948717948717947,0
RU_535299628,21,-21,45,12414,18168,-14784,-68,-13,11.144047619047619,11.035714285714285,1
RU_535299803,-14,14,-29,-8796,-9030,7148,-35,-14,-3.174170274170274,-2.856639247943596,0
RU_535301256,13,-13,33,8998,13966,-17751,46,-2,4.234523809523809,4.248677248677248,1
RU_535301674,17,-17,18,6304,13222,-7741,-29,6,7.266666666666667,18.842105263157894,1
RU_535301859,0,0,2,-3897,-14577,1362,-113,33,2.983333333333334,0.07407407407407396,0
RU_535303181,-12,12,-36,-3940,-27697,23286,21,-37,-2.1920329670329672,-2.0277777777777772,0
RU_535303377,19,-19,28,11226,14046,-104,-72,13,7.690952380952381,4.294642857142858,1
RU_535303388,9,-9,5,2790,-25398,52346,-88,12,-0.2030158730158731,0.8521836506159017,1
RU_535304505,22,-22,43,16123,19564,194,115,-12,8.14126984126984,5.68108108108108,1
RU_535305104,26,-26,56,14479,69486,-61365,-120,-9,7.606926406926407,5.274569402228977,1
RU_535305602,-4,4,2,-6732,-4425,1799,-119,-2,-1.1,-1.875,0
RU_535306732,9,-9,18,7767,24329,-20853,47,23,3.216666666666667,2.6100000000000003,1
RU_535307365,22,-22,51,14299,13208,-6841,-43,-1,7.392922077922077,4.279227053140097,1
RU_535308471,13,-13,-1,8522,4796,8666,74,29,1.8875396825396824,1.2027027027027026,1
RU_535309001,-18,18,-16,-13503,-27351,19310,23,1,-4.979848484848485,-1.9911958914159942,0
RU_535309821,-29,28,-12,-13730,-34965,16343,-54,-75,-4.207619047619048,-3.4434490481522957,0
RU_535309978,21,-21,28,9666,39588,-30514,56,2,6.812380952380953,4.55,1
RU_535310521,13,-13,25,4817,-11326,38206,-14,-24,2.461363636363636,1.9620155038759692,1
RU_535311127,-22,22,-32,-16274,-23280,15156,-87,-51,-10.98857142857143,-9.448275862068966,0
RU_535312698,8,-8,10,6269,-7316,11127,40,45,1.008838383838384,1.0,1
RU_535313320,17,-17,27,8432,-732,20086,-78,27,6.236031746031745,2.892391304347826,1
RU_535313353,14,-14,22,6410,22799,-18937,-13,5,3.855952380952381,2.6235294117647054,1
RU_535313779,-24,23,-47,-11925,-38698,-2657,-29,-3,-8.006883116883117,-5.004065040650406,0
RU_535314533,14,-14,39,7909,29198,-25228,-14,46,4.2614285714285725,3.416666666666667,1
RU_535314980,16,-16,19,12938,4830,29988,-74,18,4.601904761904763,4.007957559681698,1
RU_535315737,18,-18,43,14241,30816,-17636,76,17,3.863369963369963,3.148148148148149,1
RU_535316496,-27,27,-31,-13522,-42375,18340,-97,-26,-5.1491452991452995,-3.7634508348794062,0
RU_535316727,-17,17,-13,-13837,-15844,61,-47,-18,-3.7550793650793644,-2.9916666666666667,0
RU_535317016,22,-22,29,12897,-8968,39289,49,14,5.072222222222223,4.2092426187419765,1
