gameName,tagLine,puuid,summonerLevel
СКРИПТ ПРОВЕРКА,HLOYA,Bg-0W48WAeeGq5EpA1jQB34rqL2RO5OWh3jT2tP-ZtkduQgy52vIGBA1_9OVc3r91mnYZwOZNVeJwg,372
icy,vеins,FpxLjwEaQ7oBCXSuwteAIphyPoPMY7wNP-3jCUrLJsBvLOuchOsyectioszJwKCvX3RLYhKFHFpt3g,956
Сетт Брандо,Сетт,JbeT-eEei5Ia21QwZ5-lxM-DxWA5o5UhmyrW3AAXT5J2zx5IZdR0RmV0ZgtJ7W6KOz09cYEesbYIcw,610
AnhQuanPiano,RU1,z4EV_pT1s2uVTmFhlAIcRi9r5mytUWL7pJD6U4yUnHLshLI6mLkOA27GB9Ka79ckeY9j56w60fH9dQ,356
SanekNvrsk,RU1,qhrLxwmJcAhF3Z5pikmAHNDuOr93v_jj5A7KJz6j8-PJxtgaS7vibFD7axIZvzWoOjqONciuHnqBaA,821
убийца тигрррр,RU1,nIdJmmxv_JquN_DVsJq5_m3uRiGWAjX4ag-kHEbiEVqkRfvH_Ml5QfrDDFI2Dzy_0IUs4cIDJlsNcg,369
Loone,66666,S4bmu6ph0ApPwyVmcriY5w2iwVL3BkGoKjdW2nyUh1TdB5sg8gzb-x0EvSUzb64tjKKLC3CXEAheaw,936
MrNist,moc,OA9GUqFMJi-0q4DVk7rzfhY9LJ_h-O2Mt2gxz96JgBljdPaKSugWeCivfbWvSZTaBD6xPXyJ0VtoYg,703
Yаgаmi Light,RU1,KwrxKX06mCMviq3o9UyAY8igkcDphtLtYlglYBbFzFT14JkiyXXnII5ou7DAT9ma_NJbm7ql7q5RIA,540
F1гst,RU1,UTwZ1xEGQw6wzTmpujjVkeyIsdkUFPb-822s_-LrGkH4Hm4RpJwqcRs_iaM7M9JrBntayRly58CnVg,719
бейби любит дурь,000,RyTMV25Itxes6EUZVc_nVr2x0rxI9xLwSisT0_sFZyV0moGky8-NrCa7iqOW7FiHOI7grCZLBqb2Eg,488
