match_id,game_mode,queue_id,map_id,duration,start_time,end_time,winner_team
RU_537757965,CLASSIC,420,11,1260,1759098063112,1759099323364,red
RU_537133949,CLASSIC,420,11,1870,1758838161705,1758840032157,red
RU_537126297,CLASSIC,420,11,1983,1758834250563,1758836234000,blue
RU_537107867,CLASSIC,420,11,1965,1758829910151,1758831874795,blue
RU_537090819,CLASSIC,420,11,2078,1758826162929,1758828241471,red
RU_536909685,CLASSIC,420,11,1917,1758760992375,1758762909709,red
RU_536787756,CLASSIC,420,11,1732,1758663015927,1758664747587,blue
RU_536786222,CLASSIC,420,11,1364,1758659744693,1758661108429,blue
RU_536725742,CLASSIC,420,11,2295,1758598182032,1758600477502,red
RU_536726124,CLASSIC,420,11,2075,1758590588863,1758592664005,blue
RU_536723127,CLASSIC,420,11,1730,1758584577089,1758586307022,blue
RU_536722243,CLASSIC,420,11,1551,1758580998209,1758582549806,red
RU_536721131,CLASSIC,420,11,1445,1758578281960,1758579727567,blue
RU_536716585,CLASSIC,420,11,1816,1758575727890,1758577539373,blue
RU_536711862,CLASSIC,420,11,1453,1758572951056,1758574404380,blue
RU_536688068,CLASSIC,420,11,952,1758556291314,1758557243037,red
RU_536680928,CLASSIC,420,11,1615,1758552947343,1758554562188,red
RU_536651963,CLASSIC,420,11,1834,1758508466369,1758510300253,red
RU_536651656,CLASSIC,420,11,911,1758502272478,1758503184030,blue
RU_536651202,CLASSIC,420,11,2078,1758496694551,1758498772191,blue
RU_536650014,CLASSIC,420,11,2344,1758493020888,1758495364679,red
RU_536645937,CLASSIC,420,11,1684,1758489775196,1758491459734,red
RU_536641888,CLASSIC,420,11,1707,1758486223089,1758487930235,blue
RU_537743938,CLASSIC,440,11,1184,1759091789101,1759092972801,red
RU_537739303,CLASSIC,440,11,1860,1759089630105,1759091490504,blue
RU_537732084,CLASSIC,440,11,2071,1759087167925,1759089239471,red
RU_537724205,CLASSIC,440,11,1401,1759085180669,1759086581895,blue
RU_537545434,CLASSIC,440,11,2283,1759006588894,1759008872120,blue
RU_537533987,CLASSIC,440,11,2273,1759003718551,1759005991692,red
RU_537142540,CLASSIC,440,11,1354,1758841683024,1758843036900,blue
RU_536833997,CLASSIC,420,11,1704,1758730840557,1758732544965,blue
RU_536715469,CLASSIC,420,11,1614,1758575035218,1758576649090,blue
RU_536692261,CLASSIC,440,11,2160,1758559632570,1758561792650,red
RU_536686807,CLASSIC,440,11,1478,1758557157318,1758558635905,blue
RU_536668704,CLASSIC,420,11,1361,1758540762980,1758542123701,red
RU_536647180,CLASSIC,440,11,2153,1758490570908,1758492723816,blue
RU_536643325,CLASSIC,440,11,1744,1758487367181,1758489111030,red
RU_536639215,CLASSIC,440,11,1032,1758484387063,1758485418960,blue
RU_536635282,CLASSIC,440,11,1583,1758481903986,1758483487502,blue
RU_536602033,CLASSIC,440,11,954,1758461271339,1758462225506,red
RU_536509965,CLASSIC,420,11,1917,1758371191431,1758373109085,blue
RU_536509159,CLASSIC,420,11,1876,1758368724587,1758370601138,blue
RU_536447280,CLASSIC,440,11,1389,1758300777231,1758302166818,red
RU_536382719,CLASSIC,440,11,2073,1758220910688,1758222983574,red
RU_536379370,CLASSIC,440,11,1624,1758218068584,1758219692729,red
RU_536371378,CLASSIC,440,11,2154,1758213260829,1758215415229,blue
RU_536328774,CLASSIC,440,11,1845,1758150927647,1758152773172,blue
RU_536326665,CLASSIC,440,11,1736,1758148571622,1758150308224,red
RU_536322957,CLASSIC,440,11,1724,1758144640515,1758146364950,red
RU_536322129,CLASSIC,440,11,1920,1758141787431,1758143707123,blue
RU_536318043,CLASSIC,420,11,1124,1758138729322,1758139853760,red
RU_537771369,CHERRY,1700,30,1502,1759113669052,1759115171341,blue
RU_537772068,CHERRY,1700,30,1667,1759111851546,1759113518673,blue
RU_537768916,CHERRY,1700,30,1471,1759110666285,1759112137233,blue
RU_537769336,CLASSIC,400,11,2145,1759107895652,1759110041180,red
RU_537766502,CLASSIC,400,11,2430,1759105066451,1759107496837,red
RU_537727722,CLASSIC,400,11,1541,1759086525999,1759088067094,red
RU_537575712,CLASSIC,400,11,1192,1759025978929,1759027170795,red
RU_537572759,CLASSIC,400,11,1922,1759023633716,1759025556059,blue
RU_537574003,CLASSIC,400,11,1540,1759021659537,1759023200103,red
RU_537361483,CLASSIC,400,11,2259,1758934284676,1758936543920,blue
RU_537362147,CLASSIC,400,11,933,1758932886887,1758933819746,red
RU_537358512,CLASSIC,420,11,971,1758930629110,1758931599962,blue
RU_537143707,CLASSIC,420,11,1623,1758842880028,1758844502963,red
RU_536724312,CLASSIC,400,11,1900,1758587708187,1758589608816,red
RU_536725047,CHERRY,1700,30,1533,1758585487931,1758587021643,blue
RU_536721867,CHERRY,1700,30,1600,1758583398906,1758584999192,blue
RU_536721660,CHERRY,1700,30,1318,1758581716240,1758583034837,blue
RU_536653641,SWIFTPLAY,890,11,866,1758502921255,1758503787829,blue
RU_536653551,SWIFTPLAY,890,11,1329,1758501199356,1758502528247,blue
RU_536651524,SWIFTPLAY,890,11,974,1758499973053,1758500946903,blue
RU_536651352,SWIFTPLAY,890,11,1270,1758498261858,1758499531636,blue
RU_536652164,SWIFTPLAY,890,11,1037,1758496474318,1758497511334,blue
RU_536629449,CLASSIC,420,11,1747,1758477963988,1758479710880,blue
RU_536621735,CLASSIC,420,11,2302,1758474050063,1758476352657,red
RU_536569713,CLASSIC,420,11,1744,1758415893248,1758417637284,blue
RU_536543003,CLASSIC,420,11,1618,1758392609269,1758394227202,red
RU_537706086,CHERRY,1700,30,1326,1759079983780,1759081309936,blue
RU_537698433,CHERRY,1700,30,1396,1759078181983,1759079578133,blue
RU_537693184,CHERRY,1700,30,1477,1759076359469,1759077836322,blue
RU_537687039,CHERRY,1700,30,1469,1759074551276,1759076020185,blue
RU_537680190,CHERRY,1700,30,1370,1759072903996,1759074274091,blue
RU_537675067,CHERRY,1700,30,1399,1759071072431,1759072471777,blue
RU_537623495,CHERRY,1700,30,1407,1759055800627,1759057207657,blue
RU_537617687,CHERRY,1700,30,1438,1759054207687,1759055645646,blue
RU_537615576,CHERRY,1700,30,1215,1759053096870,1759054312246,blue
RU_537606953,CHERRY,1700,30,1321,1759050710190,1759052031148,blue
RU_537490221,CHERRY,1700,30,1397,1758990951180,1758992348054,blue
RU_537481919,CHERRY,1700,30,1361,1758989321585,1758990683118,blue
RU_537479119,CHERRY,1700,30,1519,1758987529286,1758989048349,blue
RU_537470038,CHERRY,1700,30,1375,1758985110991,1758986485964,blue
RU_537460937,CHERRY,1700,30,1308,1758983475463,1758984783331,blue
RU_537458176,CHERRY,1700,30,1395,1758981845636,1758983240454,blue
RU_537450633,CHERRY,1700,30,1490,1758979818625,1758981308916,blue
RU_537445554,CHERRY,1700,30,1622,1758978417464,1758980039399,blue
RU_537439785,CHERRY,1700,30,1432,1758976552978,1758977985545,blue
RU_537432721,CHERRY,1700,30,1787,1758974793040,1758976579996,blue
RU_537426508,CHERRY,1700,30,1888,1758972399480,1758974288064,blue
RU_537421232,CHERRY,1700,30,1352,1758970769294,1758972121705,blue
RU_537417121,CHERRY,1700,30,1222,1758969296137,1758970518030,blue
RU_537410704,CHERRY,1700,30,1386,1758967422564,1758968808907,blue
RU_537404520,CHERRY,1700,30,1498,1758965358878,1758966857498,blue
RU_537395965,CHERRY,1700,30,1383,1758962133239,1758963516248,blue
RU_537264533,CLASSIC,420,11,2065,1758901427022,1758903491997,blue
RU_537259028,CLASSIC,420,11,1378,1758899058654,1758900437103,red
RU_537246659,CLASSIC,420,11,1616,1758896308189,1758897923819,red
RU_537534560,CLASSIC,420,11,1771,1759003316349,1759005087448,red
RU_537311186,CLASSIC,420,11,2259,1758912900325,1758915159014,blue
RU_537081989,CLASSIC,420,11,1509,1758824289452,1758825798338,blue
RU_536555084,CLASSIC,420,11,1502,1758399485041,1758400987142,blue
RU_536527817,CLASSIC,420,11,1481,1758384963716,1758386444530,blue
RU_536514924,CLASSIC,420,11,1625,1758376774786,1758378400029,blue
RU_536511770,CLASSIC,420,11,1861,1758373422793,1758375284442,red
RU_536377160,CLASSIC,440,11,1686,1758215865381,1758217551244,blue
RU_536195184,CHERRY,1700,30,1524,1758013950259,1758015474710,blue
RU_536193076,CHERRY,1700,30,1530,1758012476096,1758014006013,blue
RU_536191589,CHERRY,1700,30,1428,1758010426277,1758011854295,blue
RU_536191271,CHERRY,1700,30,1396,1758008424956,1758009820965,blue
RU_536186033,CLASSIC,420,11,1503,1757992368647,1757993871435,red
RU_536183672,CLASSIC,420,11,1790,1757986853409,1757988643753,blue
RU_536181526,CLASSIC,420,11,1992,1757981887054,1757983879491,blue
RU_536178290,CLASSIC,420,11,2548,1757972534943,1757975083273,red
RU_536097865,CLASSIC,440,11,1578,1757880787139,1757882365719,red
RU_536094774,CLASSIC,440,11,1389,1757878459840,1757879848705,red
RU_536088480,CLASSIC,700,11,1239,1757873732539,1757874972083,red
RU_536082373,CLASSIC,700,11,1303,1757871132616,1757872435376,blue
RU_536076952,CLASSIC,700,11,1028,1757868415059,1757869443178,red
RU_536061780,CLASSIC,420,11,1949,1757860329787,1757862278725,blue
RU_535975729,CLASSIC,420,11,2007,1757774824330,1757776831377,red
RU_535955875,CHERRY,1700,30,1458,1757760136536,1757761594970,blue
RU_536815061,CLASSIC,420,11,1399,1758712255284,1758713653905,blue
RU_536813336,CLASSIC,420,11,2059,1758709532015,1758711591027,red
RU_536753527,CLASSIC,420,11,1730,1758639102447,1758640832494,blue
RU_536745829,CLASSIC,420,11,1418,1758632871326,1758634289212,red
RU_536741802,CLASSIC,420,11,1708,1758628813304,1758630521638,blue
RU_536687578,CLASSIC,420,11,1832,1758557661695,1758559494017,blue
RU_536683562,CLASSIC,420,11,1698,1758554838960,1758556537006,blue
RU_536679629,CLASSIC,420,11,1522,1758551864497,1758553386310,blue
RU_536675646,CLASSIC,420,11,1914,1758548490738,1758550405256,red
RU_536672820,CLASSIC,420,11,1653,1758545328446,1758546981720,blue
RU_536612743,CLASSIC,420,11,1443,1758468841277,1758470284802,red
RU_536605475,CLASSIC,420,11,1188,1758463102052,1758464289881,blue
RU_536599363,CLASSIC,420,11,1232,1758459769535,1758461001464,blue
RU_537770042,CLASSIC,420,11,1623,1759108373060,1759109995995,red
RU_537673547,CLASSIC,420,11,1556,1759071186186,1759072742797,red
RU_537625891,CLASSIC,420,11,188,1759057096264,1759057283931,blue
RU_537616680,CLASSIC,420,11,550,1759053990017,1759054540015,red
RU_537457333,CHERRY,1700,30,1460,1758981881168,1758983341845,blue
RU_537293548,CLASSIC,420,11,1579,1758909240308,1758910819376,blue
RU_537278167,CLASSIC,420,11,1590,1758904678253,1758906268466,red
RU_537187676,CLASSIC,420,11,1696,1758876246032,1758877942387,red
RU_537135790,CLASSIC,420,11,1496,1758838443857,1758839939839,blue
RU_537121405,CLASSIC,420,11,1354,1758833107484,1758834461574,blue
RU_537025910,CLASSIC,420,11,1775,1758811410808,1758813185809,blue
RU_537012892,CLASSIC,420,11,913,1758808388958,1758809302533,red
RU_536983643,CLASSIC,420,11,1775,1758800275167,1758802049908,red
RU_536969824,CLASSIC,420,11,1536,1758796253948,1758797789647,blue
RU_536957487,CLASSIC,420,11,1787,1758791960944,1758793747845,red
RU_536899019,CLASSIC,420,11,1815,1758753678744,1758755494039,red
RU_536888819,CLASSIC,420,11,1290,1758749968871,1758751258620,red
RU_536875915,CLASSIC,420,11,1791,1758746406655,1758748197323,blue
RU_536867350,CLASSIC,420,11,1826,1758743770235,1758745596142,blue
RU_537545057,CLASSIC,440,11,1674,1759006098610,1759007772607,blue
RU_537536308,CLASSIC,440,11,1613,1759003744942,1759005358176,red
RU_537530429,CLASSIC,440,11,1178,1759002075570,1759003253335,blue
RU_537490305,CLASSIC,420,11,1743,1758991048074,1758992790732,red
RU_537473806,CLASSIC,420,11,1727,1758987078372,1758988800417,blue
RU_537363295,CLASSIC,420,11,1240,1758934367171,1758935607706,red
RU_537349649,CLASSIC,420,11,2050,1758925930377,1758927980686,blue
RU_537346733,CLASSIC,420,11,912,1758924287822,1758925199917,red
RU_537075235,CLASSIC,420,11,1360,1758822407242,1758823767177,red
RU_536787006,CLASSIC,420,11,951,1758660172717,1758661123934,blue
RU_536782612,CLASSIC,420,11,1443,1758657900547,1758659343705,blue
RU_536771570,CLASSIC,420,11,1774,1758651636748,1758653411136,red
RU_536763990,CLASSIC,420,11,2180,1758648071336,1758650251254,red
RU_536414643,CLASSIC,420,11,1196,1758270479535,1758271676062,blue
RU_536411844,CLASSIC,420,11,2151,1758267653210,1758269803979,red
RU_536410785,CLASSIC,420,11,1680,1758264605198,1758266285503,blue
RU_536217095,CLASSIC,420,11,1734,1758036599384,1758038333946,red
RU_536117854,CLASSIC,420,11,2079,1757924239800,1757926319323,red
RU_536117543,CLASSIC,420,11,1215,1757922156815,1757923371988,red
RU_536116991,CLASSIC,420,11,1917,1757919535540,1757921452737,red
RU_536113797,CLASSIC,420,11,2260,1757915414289,1757917674056,red
RU_536116271,CLASSIC,420,11,1799,1757911385926,1757913185121,red
RU_537715432,CLASSIC,420,11,2200,1759083087810,1759085288326,blue
RU_537408869,CLASSIC,420,11,699,1758967370762,1758968069660,blue
RU_537341271,CLASSIC,420,11,1648,1758921869451,1758923517889,red
RU_537330194,CLASSIC,420,11,2377,1758918111204,1758920488811,blue
RU_537318902,CLASSIC,420,11,1644,1758915631327,1758917275792,red
RU_537307292,CLASSIC,420,11,2158,1758912023537,1758914181335,blue
RU_537098645,CLASSIC,420,11,1511,1758827541601,1758829052555,red
RU_537064950,CLASSIC,420,11,1717,1758820599387,1758822316356,red
RU_537051621,CLASSIC,420,11,1812,1758817342711,1758819155013,blue
RU_536850424,CLASSIC,420,11,1946,1758738708833,1758740655375,blue
RU_536846072,CLASSIC,420,11,1457,1758735775817,1758737233265,blue
RU_536838782,CLASSIC,420,11,1801,1758732755982,1758734557211,blue
RU_536661378,CLASSIC,420,11,1680,1758527776884,1758529457216,blue
RU_536658365,CLASSIC,420,11,1743,1758523806083,1758525549158,blue
RU_536440340,CLASSIC,420,11,2316,1758295612255,1758297928181,red
RU_536437173,CLASSIC,420,11,2326,1758291900721,1758294222371,red
RU_536434084,CLASSIC,420,11,1356,1758290006210,1758291362598,red
RU_536428801,CLASSIC,420,11,1064,1758287069563,1758288134132,blue
RU_536424878,CLASSIC,420,11,2012,1758283525699,1758285537649,red
RU_536423015,CLASSIC,420,11,1668,1758279321843,1758280989848,red
RU_536418556,CLASSIC,420,11,1860,1758275519905,1758277380499,blue
RU_536418042,CLASSIC,420,11,1746,1758272784471,1758274530277,red
RU_536360335,CLASSIC,420,11,1745,1758204574957,1758206320122,red
RU_536348892,CLASSIC,420,11,1416,1758195738056,1758197153796,blue
RU_536785725,CLASSIC,420,11,1614,1758660399207,1758662013154,blue
RU_536776844,CLASSIC,420,11,1778,1758654672955,1758656450815,blue
RU_536773110,CLASSIC,420,11,1770,1758651282400,1758653053032,blue
RU_536710357,CLASSIC,420,11,2032,1758570106072,1758572138244,blue
RU_536703390,CLASSIC,420,11,1953,1758566903394,1758568856859,blue
RU_536695318,CLASSIC,420,11,1628,1758562007968,1758563635938,blue
RU_536689832,CLASSIC,420,11,1743,1758558426245,1758560169438,red
RU_536684976,CLASSIC,420,11,1728,1758555984410,1758557712514,blue
